Year,MSHA_ID,mine_name,mine_type,mstafips,state,county,mctyfips,lat,lon,production
2018,1519604,Beaver Mine No. 1,Surface,21,Kentucky,Pike,195,37.344326,-82.317941,9196
2018,3609963,Slope #2,Underground,42,Pennsylvania,Schuylkill,107,40.726857,-76.248119,9049
2018,3609198,3166,Surface,51,Virginia,Wise,195,37.056944,-82.595556,9018
2018,3609259,Lone Eagle West,Surface,42,Pennsylvania,Schuylkill,107,40.676111,-76.363611,8989
2018,3608613,Silverton Stripping,Surface,42,Pennsylvania,Schuylkill,107,40.658888,-76.275555,8718
2018,3607514,M S M Coal Company Inc,Surface,42,Pennsylvania,Jefferson,65,41.186111,-79.153333,8324
2018,1800794,Taylor Highwall Mine,Surface,24,Maryland,Garrett,23,39.10578,-79.513224,8314
2018,3608071,Enercorp Inc,Surface,42,Pennsylvania,Clearfield,33,40.993333,-78.198333,8084
2018,3608494,Good Spring South,Surface,42,Pennsylvania,Schuylkill,107,40.599444,-76.996666,7949
2018,3605208,Ancient Sun Strip Saylor-Mckin,Surface,42,Pennsylvania,Clarion,31,41.274639,-79.514137,7624
2018,1519844,Toms Fork Mine,Underground,21,Kentucky,Bell,13,36.7625,-83.547222,7057
2018,1518777,Hazard Job #6,Surface,21,Kentucky,Perry,193,37.295278,-83.195556,6865
2018,4609546,Beech Mountain Mine,Underground,54,West Virginia,Randolph,83,38.683889,-80.128333,6744
2018,1519839,Mine 109 - Auger 40,Surface,21,Kentucky,Martin,159,37.718889,-82.510833,6472
2018,4609443,Stone Mine No. 1,Surface,54,West Virginia,Wayne,99,38.040428,-82.498237,6459
2018,3609511,Selkirk 2,Surface,42,Pennsylvania,Schuylkill,107,40.661837,-76.277605,6351
2018,4609520,Sewell Valley #1,Surface,54,West Virginia,Greenbrier,25,38.045833,-80.763056,6119
2018,4608939,Guyan Mine,Surface,54,West Virginia,Logan,45,37.8125,-81.776389,6110
2018,1519678,Jc-1,Surface,21,Kentucky,Johnson,115,37.81245,-82.720026,5827
2018,1519776,Deep Mine No. 1,Underground,21,Kentucky,Pike,195,37.390278,-82.404444,5745
2018,3608602,Waroquier #2,Surface,42,Pennsylvania,Jefferson,65,41.182778,-78.882222,5730
2018,3609185,Auger 3152,Surface,42,Pennsylvania,Indiana,63,40.458333,-78.875,5730
2018,3609632,No 1 Stripping,Surface,42,Pennsylvania,Northumberland,97,40.758333,-76.632778,5636
2018,1519455,Highsplint Strip #2 Dixie 25,Surface,21,Kentucky,Harlan,95,36.8075,-83.295278,5585
2018,1519774,Swan Pond,Surface,21,Kentucky,Knox,121,36.836389,-83.881111,5582
2018,1513418,Dredge #1,Surface,21,Kentucky,Lawrence,127,38.184722,-82.607222,5564
2018,1515851,Mine No 1,Surface,21,Kentucky,Johnson,115,37.916128,-82.966578,5357
2018,1519002,Josie Mine #2,Surface,21,Kentucky,Whitley,235,36.802237,-84.103175,5318
2018,3609348,Crystal Strip,Surface,42,Pennsylvania,Northumberland,97,40.766389,-76.677778,5147
2018,1519798,S-29 Cave Branch,Surface,21,Kentucky,Harlan,95,36.967778,-82.981944,5125
2018,1519735,Highwall Miner #2,Surface,1,Alabama,Walker,127,37.600833,-83.889167,5102
2018,3602733,Kasubick #4,Surface,42,Pennsylvania,Clearfield,33,40.859491,-78.375075,5002
2018,1800630,#1 Strip,Surface,24,Maryland,Garrett,23,39.586111,-79.008333,4992
2018,103342,Reese's Branch Mine,Surface,1,Alabama,Walker,127,33.670833,-87.2725,4838
2018,3610127,Big Mountain Anthracite #1 Pit,Surface,42,Pennsylvania,Northumberland,97,40.763889,-76.647222,4786
2018,3602203,N & L Slope,Underground,42,Pennsylvania,Northumberland,97,40.768307,-76.650848,4753
2018,4003318,Area #2,Surface,47,Tennessee,Campbell,13,36.572222,-84.167222,4751
2018,3609943,Heidleberg,Surface,42,Pennsylvania,Luzerne,79,41.328056,-75.748056,4748
2018,3608728,Carino No 1 Mine,Surface,42,Pennsylvania,Indiana,63,40.646356,-78.864769,4601
2018,4609560,North Fork Surface Mine,Surface,54,West Virginia,Logan,45,37.802778,-81.653611,4526
2018,4407154,No. 5,Underground,51,Virginia,Buchanan,27,37.296111,-82.201667,4440
2018,1517982,No. 8,Underground,21,Kentucky,Pike,195,37.444444,-82.241389,4401
2018,3610256,Mayo Operation,Surface,42,Pennsylvania,Jefferson,65,41.123889,-79.136111,4371
2018,1518626,Mine # 1,Underground,21,Kentucky,Pike,195,37.424444,-82.235833,4363
2018,3303336,Sands Hill Strip #2,Surface,39,Ohio,Jackson,79,39.115278,-82.435556,4298
2018,3609956,3139,Surface,42,Pennsylvania,Somerset,111,40.131006,-78.863038,4210
2018,3607443,Cherep #1,Surface,42,Pennsylvania,Allegheny,3,40.616746,-79.440666,4161
2018,3610252,Day Mine,Surface,42,Pennsylvania,Indiana,63,39.980278,-79.806389,3988
2018,3304179,Ccu Tuscarawas Strip,Surface,39,Ohio,Tuscarawas,157,40.400178,-81.556195,3981
2018,3609468,Long Run,Underground,42,Pennsylvania,Armstrong,5,40.863889,-79.617222,3740
2018,3609965,Horton Strips,Surface,42,Pennsylvania,Clearfield,33,40.870833,-78.258333,3647
2018,1518644,A28,Surface,21,Kentucky,Whitley,235,37.114722,-83.096667,3630
2018,1800777,Jackson,Surface,24,Maryland,Allegany,1,39.520067,-78.993598,3577
2018,1518566,Auger #35 Job 198,Surface,21,Kentucky,Pike,195,37.225,-82.725,3560
2018,3607880,Condor Mine,Surface,42,Pennsylvania,Indiana,63,40.589166,-79.346944,3538
